day,date,platform,program,hook_type,title,hook,cta,hashtags,link_slug,status
81,2026-09-19,youtube_shorts,Adobe (Firefly / Creative Cloud),vs,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,AI画像生成、手作業とAdobe (Firefly / Creative Cloud)でどれだけ違うか比べてみた。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d081,draft
82,2026-09-20,youtube_shorts,ElevenLabs,howto,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,ElevenLabsでAIナレーションを終わらせる3ステップ、見せます。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d082,draft
83,2026-09-21,youtube_shorts,HeyGen,mistake,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,AIアバター動画でこれやってる人、時間めっちゃ損してます（HeyGenで解決）。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d083,draft
84,2026-09-22,youtube_shorts,Synthesia,tier,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はSynthesiaでした。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d084,draft
85,2026-09-23,youtube_shorts,ChatGPT (OpenAI),pain,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用、まだ手作業でやってませんか？それ、ChatGPT (OpenAI)で一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d085,draft
86,2026-09-24,youtube_shorts,Descript,result,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,Descriptを使ったら動画/音声編集が10分→1分になった話、します。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d086,draft
87,2026-09-25,youtube_shorts,Pictory,vs,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,テキストから動画、手作業とPictoryでどれだけ違うか比べてみた。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d087,draft
88,2026-09-26,youtube_shorts,InVideo AI,howto,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,InVideo AIでプロンプトから動画を終わらせる3ステップ、見せます。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d088,draft
89,2026-09-27,youtube_shorts,Fliki,mistake,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,テキスト読み上げ動画でこれやってる人、時間めっちゃ損してます（Flikiで解決）。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d089,draft
90,2026-09-28,youtube_shorts,Midjourney,tier,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,design系AIツールTop3、本命はMidjourneyでした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d090,draft
91,2026-09-29,youtube_shorts,Murf.ai,pain,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、まだ手作業でやってませんか？それ、Murf.aiで一瞬です。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d091,draft
92,2026-09-30,youtube_shorts,Jasper,result,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,Jasperを使ったらAIライティングが10分→1分になった話、します。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d092,draft
93,2026-10-01,youtube_shorts,Writesonic,vs,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,AI記事作成、手作業とWritesonicでどれだけ違うか比べてみた。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d093,draft
94,2026-10-02,youtube_shorts,Canva,howto,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,Canvaでサムネ作成を終わらせる3ステップ、見せます。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d094,draft
95,2026-10-03,youtube_shorts,Perplexity,mistake,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索でこれやってる人、時間めっちゃ損してます（Perplexityで解決）。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d095,draft
96,2026-10-04,youtube_shorts,Notion,tier,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,automation系AIツールTop3、本命はNotionでした。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d096,draft
97,2026-10-05,youtube_shorts,Adobe (Firefly / Creative Cloud),pain,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,AI画像生成、まだ手作業でやってませんか？それ、Adobe (Firefly / Creative Cloud)で一瞬です。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d097,draft
98,2026-10-06,youtube_shorts,ElevenLabs,result,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,ElevenLabsを使ったらAIナレーションが10分→1分になった話、します。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d098,draft
99,2026-10-07,youtube_shorts,HeyGen,vs,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,AIアバター動画、手作業とHeyGenでどれだけ違うか比べてみた。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d099,draft
100,2026-10-08,youtube_shorts,ChatGPT (OpenAI),howto,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT (OpenAI)でChatGPT活用を終わらせる3ステップ、見せます。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d100,draft
101,2026-10-09,youtube_shorts,Synthesia,mistake,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画でこれやってる人、時間めっちゃ損してます（Synthesiaで解決）。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d101,draft
102,2026-10-10,youtube_shorts,Descript,tier,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はDescriptでした。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d102,draft
103,2026-10-11,youtube_shorts,Pictory,pain,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,テキストから動画、まだ手作業でやってませんか？それ、Pictoryで一瞬です。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d103,draft
104,2026-10-12,youtube_shorts,InVideo AI,result,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,InVideo AIを使ったらプロンプトから動画が10分→1分になった話、します。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d104,draft
105,2026-10-13,youtube_shorts,Midjourney,vs,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,AI画像、手作業とMidjourneyでどれだけ違うか比べてみた。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d105,draft
106,2026-10-14,youtube_shorts,Fliki,howto,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,Flikiでテキスト読み上げ動画を終わらせる3ステップ、見せます。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d106,draft
107,2026-10-15,youtube_shorts,Murf.ai,mistake,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーションでこれやってる人、時間めっちゃ損してます（Murf.aiで解決）。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d107,draft
108,2026-10-16,youtube_shorts,Jasper,tier,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,writing系AIツールTop3、本命はJasperでした。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d108,draft
109,2026-10-17,youtube_shorts,Writesonic,pain,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,AI記事作成、まだ手作業でやってませんか？それ、Writesonicで一瞬です。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d109,draft
110,2026-10-18,youtube_shorts,Perplexity,result,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,Perplexityを使ったらAI検索が10分→1分になった話、します。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d110,draft
111,2026-10-19,youtube_shorts,Canva,vs,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成、手作業とCanvaでどれだけ違うか比べてみた。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d111,draft
112,2026-10-20,youtube_shorts,Notion,howto,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,NotionでNotion AIを終わらせる3ステップ、見せます。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d112,draft
113,2026-10-21,youtube_shorts,Adobe (Firefly / Creative Cloud),mistake,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,AI画像生成でこれやってる人、時間めっちゃ損してます（Adobe (Firefly / Creative Cloud)で解決）。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d113,draft
114,2026-10-22,youtube_shorts,ElevenLabs,tier,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,voice系AIツールTop3、本命はElevenLabsでした。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d114,draft
115,2026-10-23,youtube_shorts,ChatGPT (OpenAI),pain,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用、まだ手作業でやってませんか？それ、ChatGPT (OpenAI)で一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d115,draft
116,2026-10-24,youtube_shorts,HeyGen,result,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,HeyGenを使ったらAIアバター動画が10分→1分になった話、します。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d116,draft
117,2026-10-25,youtube_shorts,Synthesia,vs,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画、手作業とSynthesiaでどれだけ違うか比べてみた。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d117,draft
118,2026-10-26,youtube_shorts,Descript,howto,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,Descriptで動画/音声編集を終わらせる3ステップ、見せます。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d118,draft
119,2026-10-27,youtube_shorts,Pictory,mistake,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,テキストから動画でこれやってる人、時間めっちゃ損してます（Pictoryで解決）。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d119,draft
120,2026-10-28,youtube_shorts,Midjourney,tier,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,design系AIツールTop3、本命はMidjourneyでした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d120,draft
121,2026-10-29,youtube_shorts,InVideo AI,pain,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画、まだ手作業でやってませんか？それ、InVideo AIで一瞬です。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d121,draft
122,2026-10-30,youtube_shorts,Fliki,result,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,Flikiを使ったらテキスト読み上げ動画が10分→1分になった話、します。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d122,draft
123,2026-10-31,youtube_shorts,Murf.ai,vs,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、手作業とMurf.aiでどれだけ違うか比べてみた。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d123,draft
124,2026-11-01,youtube_shorts,Jasper,howto,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,JasperでAIライティングを終わらせる3ステップ、見せます。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d124,draft
125,2026-11-02,youtube_shorts,Perplexity,mistake,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索でこれやってる人、時間めっちゃ損してます（Perplexityで解決）。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d125,draft
126,2026-11-03,youtube_shorts,Writesonic,tier,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,writing系AIツールTop3、本命はWritesonicでした。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d126,draft
127,2026-11-04,youtube_shorts,Canva,pain,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成、まだ手作業でやってませんか？それ、Canvaで一瞬です。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d127,draft
128,2026-11-05,youtube_shorts,Notion,result,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notionを使ったらNotion AIが10分→1分になった話、します。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d128,draft
129,2026-11-06,youtube_shorts,Adobe (Firefly / Creative Cloud),vs,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,AI画像生成、手作業とAdobe (Firefly / Creative Cloud)でどれだけ違うか比べてみた。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d129,draft
130,2026-11-07,youtube_shorts,ChatGPT (OpenAI),howto,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT (OpenAI)でChatGPT活用を終わらせる3ステップ、見せます。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d130,draft
131,2026-11-08,youtube_shorts,ElevenLabs,mistake,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーションでこれやってる人、時間めっちゃ損してます（ElevenLabsで解決）。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d131,draft
132,2026-11-09,youtube_shorts,HeyGen,tier,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はHeyGenでした。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d132,draft
133,2026-11-10,youtube_shorts,Synthesia,pain,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画、まだ手作業でやってませんか？それ、Synthesiaで一瞬です。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d133,draft
134,2026-11-11,youtube_shorts,Descript,result,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,Descriptを使ったら動画/音声編集が10分→1分になった話、します。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d134,draft
135,2026-11-12,youtube_shorts,ChatGPT (OpenAI),vs,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用、手作業とChatGPT (OpenAI)でどれだけ違うか比べてみた。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d135,draft
136,2026-11-13,youtube_shorts,Pictory,howto,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,Pictoryでテキストから動画を終わらせる3ステップ、見せます。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d136,draft
137,2026-11-14,youtube_shorts,InVideo AI,mistake,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画でこれやってる人、時間めっちゃ損してます（InVideo AIで解決）。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d137,draft
138,2026-11-15,youtube_shorts,Fliki,tier,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はFlikiでした。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d138,draft
139,2026-11-16,youtube_shorts,Murf.ai,pain,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、まだ手作業でやってませんか？それ、Murf.aiで一瞬です。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d139,draft
140,2026-11-17,youtube_shorts,Midjourney,result,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,Midjourneyを使ったらAI画像が10分→1分になった話、します。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d140,draft
141,2026-11-18,youtube_shorts,Jasper,vs,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティング、手作業とJasperでどれだけ違うか比べてみた。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d141,draft
142,2026-11-19,youtube_shorts,Writesonic,howto,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,WritesonicでAI記事作成を終わらせる3ステップ、見せます。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d142,draft
143,2026-11-20,youtube_shorts,Canva,mistake,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成でこれやってる人、時間めっちゃ損してます（Canvaで解決）。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d143,draft
144,2026-11-21,youtube_shorts,Notion,tier,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,automation系AIツールTop3、本命はNotionでした。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d144,draft
145,2026-11-22,youtube_shorts,Perplexity,pain,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索、まだ手作業でやってませんか？それ、Perplexityで一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d145,draft
146,2026-11-23,youtube_shorts,Adobe (Firefly / Creative Cloud),result,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,Adobe (Firefly / Creative Cloud)を使ったらAI画像生成が10分→1分になった話、します。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d146,draft
147,2026-11-24,youtube_shorts,ElevenLabs,vs,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、手作業とElevenLabsでどれだけ違うか比べてみた。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d147,draft
148,2026-11-25,youtube_shorts,HeyGen,howto,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,HeyGenでAIアバター動画を終わらせる3ステップ、見せます。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d148,draft
149,2026-11-26,youtube_shorts,Synthesia,mistake,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画でこれやってる人、時間めっちゃ損してます（Synthesiaで解決）。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d149,draft
150,2026-11-27,youtube_shorts,ChatGPT (OpenAI),tier,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,general系AIツールTop3、本命はChatGPT (OpenAI)でした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d150,draft
151,2026-11-28,youtube_shorts,Descript,pain,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,動画/音声編集、まだ手作業でやってませんか？それ、Descriptで一瞬です。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d151,draft
152,2026-11-29,youtube_shorts,Pictory,result,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,Pictoryを使ったらテキストから動画が10分→1分になった話、します。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d152,draft
153,2026-11-30,youtube_shorts,InVideo AI,vs,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画、手作業とInVideo AIでどれだけ違うか比べてみた。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d153,draft
154,2026-12-01,youtube_shorts,Fliki,howto,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,Flikiでテキスト読み上げ動画を終わらせる3ステップ、見せます。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d154,draft
155,2026-12-02,youtube_shorts,Midjourney,mistake,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,AI画像でこれやってる人、時間めっちゃ損してます（Midjourneyで解決）。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d155,draft
156,2026-12-03,youtube_shorts,Murf.ai,tier,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,voice系AIツールTop3、本命はMurf.aiでした。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d156,draft
157,2026-12-04,youtube_shorts,Jasper,pain,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティング、まだ手作業でやってませんか？それ、Jasperで一瞬です。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d157,draft
158,2026-12-05,youtube_shorts,Writesonic,result,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,Writesonicを使ったらAI記事作成が10分→1分になった話、します。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d158,draft
159,2026-12-06,youtube_shorts,Canva,vs,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成、手作業とCanvaでどれだけ違うか比べてみた。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d159,draft
